Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TDGXUSAM,"United States Exports of Goods, Balance of Payments Basis (Mil. of $, SA)",Balance of Payments,United States Dollar,United States,,,,,,,National Currency,Millions,Monthly,SA,Annual From Dec 1790 To Jul 1866<BR>Monthly From Aug 1866 To Feb 2019<BR>,"SOURCE: Pre 1866 data are from B. R. Mitchell, International Historical Statistics: The Americas 1750-2000, Fourth Edition, Stockton Press, 2003<br />Dat from   1866-1909 DATA ARE FROM MONTHLY SUMARY OF COMMERCE AND FINANCE, DECEMBER, 1910 SUPPLEMENT""CALENDAR YEAR STATEMENTS,"" 1910, PP. 1120-1126.  1910-JUNE, 1914 DATA ARE FROM SUCCESSIVE ISSUES OF MONTHLY SUMMARY OF COMMERCE AND FINANCE.  BEGINNING WITH JULY, 1914 ENTRIES, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE, SUCCESSIVE ISSUES. 1942-1944 DATA ARE FROM FOREIGN COMMERCE AND NAVIGATION; BEGINNING WITH 1945, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE OF THE UNITED STATES (ISSUED QUARTERLY BEGINNING IN APRIL, 1951.  BEGINNING WITH 1946 DATA, SEE SUMMARY REPORT  FT 900-E, TOTAL EXPORT TRADE.  REVISED BACK FIGURES MAY BE FOUND IN WORLD TRADE INFORMATION SERVICE   STATISTICAL REPORTS, PART 3, TOTAL EXPORT AND IMPORT TRADE OF THE UNITED STATES (THROUGH THE 1962 ISSUES); UNITED STATES DEPARTMENT OF COMMERCE, OVERSEAS BUSINESS (BUREAU OF INTERNATIONAL COMMERCE) 1962-1965 ISSUES; BUREAU OF THE CENSUS, HIGHLIGHTS OF UNITED STATES EXPORT AND IMPORT TRADE (FT 990), MONTHLY, BEGINNING IN 1967.  SCATTERED REVISIONS FOR 1946-1963 ARE FROM 1963 ISSUE OF FOREIGN COMMERCE AND NAVIGATION (PREPRINT TABLE /21/66).Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close,Percent_Gdp,Annual_Percent_Change,,,,,,,,,,
10/31/1952,TDGXUSAM,,,,13782.2,3.87,4.434341138,,,,,,,,,,
11/30/1952,TDGXUSAM,,,,13473.9,3.78,-0.764488831,,,,,,,,,,
12/31/1952,TDGXUSAM,,,,13203,3.47,-5.472743675,,,,,,,,,,
1/31/1953,TDGXUSAM,,,,13029.8,3.42,-8.461311489,,,,,,,,,,
2/28/1953,TDGXUSAM,,,,12697.4,3.33,-10.7965323,,,,,,,,,,
3/31/1953,TDGXUSAM,,,,12420,3.26,-15.24614104,,,,,,,,,,
4/30/1953,TDGXUSAM,,,,12286.6,3.23,-15.58270238,,,,,,,,,,
5/31/1953,TDGXUSAM,,,,12128.3,3.18,-16.7761149,,,,,,,,,,
6/30/1953,TDGXUSAM,,,,12083.3,3.17,-16.3739169,,,,,,,,,,
7/31/1953,TDGXUSAM,,,,12155.2,3.19,-14.64644337,,,,,,,,,,
8/31/1953,TDGXUSAM,,,,12150.2,3.19,-13.22835208,,,,,,,,,,
9/30/1953,TDGXUSAM,,,,12220.8,3.21,-11.65537732,,,,,,,,,,
10/31/1953,TDGXUSAM,,,,12197.3,3.2,-11.49961545,,,,,,,,,,
11/30/1953,TDGXUSAM,,,,12232.3,3.21,-9.214852418,,,,,,,,,,
12/31/1953,TDGXUSAM,,,,12262.4,3.18,-7.124138453,,,,,,,,,,
1/31/1954,TDGXUSAM,,,,12169.9,3.15,-6.599487329,,,,,,,,,,
2/28/1954,TDGXUSAM,,,,12241.2,3.17,-3.592861531,,,,,,,,,,
3/31/1954,TDGXUSAM,,,,12111.1,3.14,-2.487117552,,,,,,,,,,
4/30/1954,TDGXUSAM,,,,12320.4,3.19,0.275096447,,,,,,,,,,
5/31/1954,TDGXUSAM,,,,12371.9,3.21,2.008525515,,,,,,,,,,
6/30/1954,TDGXUSAM,,,,12474.6,3.23,3.238353761,,,,,,,,,,
7/31/1954,TDGXUSAM,,,,12532.6,3.25,3.104844017,,,,,,,,,,
8/31/1954,TDGXUSAM,,,,12576.8,3.26,3.511053316,,,,,,,,,,
9/30/1954,TDGXUSAM,,,,12487.2,3.24,2.179890024,,,,,,,,,,
10/31/1954,TDGXUSAM,,,,12634,3.27,3.580300558,,,,,,,,,,
11/30/1954,TDGXUSAM,,,,12770.1,3.31,4.396556657,,,,,,,,,,
12/31/1954,TDGXUSAM,,,,12854.5,3.22,4.828581681,,,,,,,,,,
1/31/1955,TDGXUSAM,,,,13098.8,3.28,7.632766087,,,,,,,,,,
2/28/1955,TDGXUSAM,,,,13298.4,3.33,8.636408195,,,,,,,,,,
