"president","date","approve","disapprove"
"Trump",2017-06-15,39,55
"Trump",2017-06-15,35.8,60.4
"Trump",2017-06-16,39,55
"Trump",2017-06-16,42,54
"Trump",2017-06-16,48,51
"Trump",2017-06-16,36.7,59.8
"Trump",2017-06-17,36.7,59.5
"Trump",2017-06-17,47,53
"Trump",2017-06-17,36,57
"Trump",2017-06-17,23.9,75.9
"Trump",2017-06-17,43,51
"Trump",2017-06-16,40,56
"Trump",2017-06-17,38,56
"Trump",2017-06-18,37,57
"Trump",2017-06-18,37.6,58.6
"Trump",2017-06-19,40,49
"Trump",2017-06-19,43,54
"Trump",2017-06-19,40,55
"Trump",2017-06-19,37,59
"Trump",2017-06-19,45,55
"Trump",2017-06-19,37,58
"Trump",2017-06-19,39.2,57
"Trump",2017-06-20,38.7,56.2
"Trump",2017-06-20,48,52
"Trump",2017-06-20,46,54
"Trump",2017-06-20,39,56
"Trump",2017-06-21,46,54
"Trump",2017-06-21,42,54
"Trump",2017-06-21,37,56.7
"Trump",2017-06-20,44,50
"Trump",2017-06-22,35.9,57.2
"Trump",2017-06-21,46,49
"Trump",2017-06-22,39,55
"Trump",2017-06-23,38,57
"Trump",2017-06-23,37,51
"Trump",2017-06-23,35.9,56.9
"Trump",2017-06-23,45,51
"Trump",2017-06-23,47,53
"Trump",2017-06-24,31,69
"Trump",2017-06-24,46,54
"Trump",2017-06-24,34.4,58.2
"Trump",2017-06-24,36,58
"Trump",2017-06-24,40,55
"Trump",2017-06-25,39,57
"Trump",2017-06-25,35.4,58.1
"Trump",2017-06-26,39,51
"Trump",2017-06-26,46,54
"Trump",2017-06-26,36.2,57.6
"Trump",2017-06-26,39,56
"Trump",2017-06-26,41,56
"Trump",2017-06-26,44,50
"Trump",2017-06-26,41.9,52.6
"Trump",2017-06-26,37,58
"Trump",2017-06-27,40,56
"Trump",2017-06-27,45,55
"Trump",2017-06-27,36.6,56.6
"Trump",2017-06-28,37.6,56.2
"Trump",2017-06-28,38,57
"Trump",2017-06-28,46,54
"Trump",2017-06-29,38,57
"Trump",2017-06-29,38.7,54.7
"Trump",2017-06-30,38.1,54.9
"Trump",2017-06-30,37,57
"Trump",2017-06-30,44,56
"Trump",2017-07-01,44,56
"Trump",2017-07-01,39,56
"Trump",2017-07-01,30,69
"Trump",2017-07-01,38.3,54.8
"Trump",2017-07-02,37,57
"Trump",2017-07-02,37.8,56.8
"Trump",2017-07-03,38.1,57.1
"Trump",2017-07-03,43,55
"Trump",2017-07-04,44,56
"Trump",2017-07-03,38,52
"Trump",2017-07-04,38,57.8
"Trump",2017-07-04,37,57
"Trump",2017-07-05,45,55
"Trump",2017-07-05,37,57
"Trump",2017-07-05,39.2,57.1
"Trump",2017-07-06,38,56
"Trump",2017-07-06,39.8,56.3
"Trump",2017-07-07,45,55
"Trump",2017-07-07,39.3,56.9
"Trump",2017-07-07,39,56
"Trump",2017-07-08,39.6,56.8
"Trump",2017-07-08,45,49
"Trump",2017-07-07,38,57
"Trump",2017-07-08,39,56
"Trump",2017-07-08,45,55
"Trump",2017-07-09,40,55
"Trump",2017-07-08,33,66
"Trump",2017-07-09,39.9,56.2
"Trump",2017-07-10,40,55
"Trump",2017-07-10,42,56
"Trump",2017-07-10,37,52
"Trump",2017-07-10,40,56
"Trump",2017-07-10,40.8,55.5
"Trump",2017-07-10,45,55
"Trump",2017-07-11,40.6,56
"Trump",2017-07-11,44,56
"Trump",2017-07-12,39,55
"Trump",2017-07-12,43,57
"Trump",2017-07-12,36,58
"Trump",2017-07-12,41.5,55.2
"Trump",2017-07-13,40.2,55.9
"Trump",2017-07-13,38,57
"Trump",2017-07-14,43,57
"Trump",2017-07-14,43,51
"Trump",2017-07-14,38,56
"Trump",2017-07-14,40.2,56
"Trump",2017-07-15,43,57
"Trump",2017-07-15,42,54
"Trump",2017-07-15,39,56
"Trump",2017-07-15,37.7,58.1
"Trump",2017-07-15,39,52
"Trump",2017-07-16,38,56
"Trump",2017-07-16,41,55
"Trump",2017-07-16,37.6,58.1
"Trump",2017-07-16,33,66
"Trump",2017-07-17,38.3,56.5
"Trump",2017-07-17,42,57
"Trump",2017-07-17,42,58
"Trump",2017-07-17,37,57
"Trump",2017-07-17,41,53
"Trump",2017-07-17,38,54
"Trump",2017-07-18,44,51
"Trump",2017-07-18,36,59
"Trump",2017-07-18,38.3,55.6
"Trump",2017-07-18,43,57
"Trump",2017-07-19,35,57
"Trump",2017-07-19,37,58
"Trump",2017-07-19,43,57
"Trump",2017-07-19,38,54.9
"Trump",2017-07-20,36.8,55.1
"Trump",2017-07-20,38,57
"Trump",2017-07-21,44,56
"Trump",2017-07-21,39,55
"Trump",2017-07-21,36.3,55.7
"Trump",2017-07-22,44,52
"Trump",2017-07-22,35.1,58.3
"Trump",2017-07-22,37,58
"Trump",2017-07-21,44,56
"Trump",2017-07-22,42,58
"Trump",2017-07-23,35.2,59.1
"Trump",2017-07-23,36,59
"Trump",2017-07-23,31,68
"Trump",2017-07-24,43,57
"Trump",2017-07-24,37,58
"Trump",2017-07-24,39,51
"Trump",2017-07-24,35.7,59.3
"Trump",2017-07-24,39,58
"Trump",2017-07-25,39,55
"Trump",2017-07-25,37.7,57.9
"Trump",2017-07-25,41,59
"Trump",2017-07-26,44,54
"Trump",2017-07-26,39,54
"Trump",2017-07-26,36.6,58.9
"Trump",2017-07-26,41,59
"Trump",2017-07-27,36.8,58.6
"Trump",2017-07-27,39,56
"Trump",2017-07-28,38,57
"Trump",2017-07-28,37,58.5
"Trump",2017-07-28,39,61
"Trump",2017-07-28,43,53
"Trump",2017-07-29,37,59
"Trump",2017-07-29,37.1,58.5
"Trump",2017-07-29,39,61
"Trump",2017-07-30,37,59
"Trump",2017-07-30,37.1,58.7
"Trump",2017-07-29,33,61
"Trump",2017-07-31,37.5,57.7
"Trump",2017-07-31,39,59
"Trump",2017-07-31,36,60
"Trump",2017-07-31,38,62
"Trump",2017-08-01,36,58
"Trump",2017-08-01,39,60
"Trump",2017-08-01,36.9,58.2
"Trump",2017-07-31,37,54
"Trump",2017-08-01,32,59
"Trump",2017-08-02,35.8,59
"Trump",2017-08-02,39,59
"Trump",2017-08-02,36,58
"Trump",2017-08-03,37,55
"Trump",2017-08-03,35,60.2
"Trump",2017-08-04,38,56
"Trump",2017-08-04,34.5,60.5
"Trump",2017-08-04,41,57
"Trump",2017-08-03,36,61
"Trump",2017-08-05,36.4,59.9
"Trump",2017-08-05,38,56
"Trump",2017-08-05,41,57
"Trump",2017-08-05,36,58
"Trump",2017-08-05,40,55
"Trump",2017-08-05,38,57
"Trump",2017-08-06,37.3,58.9
"Trump",2017-08-06,44.5,50.6
"Trump",2017-08-06,37,59
"Trump",2017-08-06,32,67
"Trump",2017-08-07,40,55
"Trump",2017-08-07,41,57
"Trump",2017-08-07,42,56
"Trump",2017-08-07,37,53
"Trump",2017-08-07,36.3,59.2
"Trump",2017-08-07,36,58
"Trump",2017-08-08,37.9,56.6
"Trump",2017-08-08,44,54
"Trump",2017-08-08,36,57
"Trump",2017-08-09,45,53
"Trump",2017-08-09,38.9,55.2
"Trump",2017-08-09,37,56
"Trump",2017-08-10,37,57
"Trump",2017-08-10,37.3,56.6
"Trump",2017-08-10,35,55
"Trump",2017-08-09,40,53
"Trump",2017-08-11,43,55
"Trump",2017-08-11,36.3,56.6
"Trump",2017-08-11,36,59
"Trump",2017-08-12,42,57
"Trump",2017-08-12,34,61
"Trump",2017-08-12,36,56.6
"Trump",2017-08-12,43,51
"Trump",2017-08-12,39,57
"Trump",2017-08-12,41,49
"Trump",2017-08-13,35.5,57.5
"Trump",2017-08-13,36,59
"Trump",2017-08-14,39,51
"Trump",2017-08-14,33.8,59.6
"Trump",2017-08-14,40,58
"Trump",2017-08-14,36,58
"Trump",2017-08-14,40,58
"Trump",2017-08-14,35,51
"Trump",2017-08-15,34.6,58.9
"Trump",2017-08-15,42,55
"Trump",2017-08-14,34,58
"Trump",2017-08-15,37,57
"Trump",2017-08-15,40,59
"Trump",2017-08-14,36,63
"Trump",2017-08-16,34.9,59.2
"Trump",2017-08-16,42,57
"Trump",2017-08-16,38,57
"Trump",2017-08-17,37,57
"Trump",2017-08-16,43,55
"Trump",2017-08-17,35.9,58.5
"Trump",2017-08-18,38,56
"Trump",2017-08-18,35.7,59.1
"Trump",2017-08-18,42,57
"Trump",2017-08-18,36,58
"Trump",2017-08-18,37,58
"Trump",2017-08-19,33,62
"Trump",2017-08-19,43,56
"Trump",2017-08-19,35.9,59
